Year,At Current Prices - Value of Output,At Current Prices - Gross Domestic Product/GVA*,At Constant Prices - Value of Output,At Constant Prices - Gross Domestic Product/GVA*
1980-81,10597,5913,10597,5913
1981-82,12808,7309,11291,6439
1982-83,14360,8450,11778,6788
1983-84,16659,10167,12645,7553
1984-85,19582,12156,13494,8104
1985-86,21920,13908,14220,8746
1986-87,24552,15625,14866,9162
1987-88,27970,18251,15213,9651
1988-89,32165,21719,15870,10363
1989-90,37685,27499,16510,11629
1990-91,42040,30828,17182,12163
1991-92,50941,37491,17777,12399
1992-93,58361,43199,18664,13218
1993-94,66965,50724,66965,50724
1994-95,76043,57718,69641,53511
1995-96,85837,64970,72029,55827
1996-97,97158,74710,74560,58168
1997-98,107206,81927,76653,59336
1998-99,118367,91107,79866,62074
1999-00,129531,94698,129531,94698
2000-01,139057,104745,133696,98640
2001-02,147180,109254,139860,101851
2002-03,154129,114872,143649,106744
2003-04,162970,118316,147328,107812
2004-05,180034,119333,180034,119333
2005-06,193450,127518,187779,126765
2006-07,215350,142695,195850,133338
2007-08,247180,169296,204454,141398
2008-09,292146,200440,217641,153219
2009-10,346147,237059,226676,161382
2010-11,410937,285805,240166,171554
2011-12,485103,324013,485103,324013
2012-13,557103,367318,505076,340661
2013-14,623861,406035,526527,359312
